age,salary,hours_per_week,years_at_company,department,education,attrition,period
25,102747,55,15,Marketing,Associate,0,Jan-2023 (Baseline)
51,96303,36,13,Sales,PhD,0,Jan-2023 (Baseline)
46,80248,44,18,Marketing,Bachelor,0,Jan-2023 (Baseline)
38,109776,45,19,HR,PhD,0,Jan-2023 (Baseline)
38,41544,53,14,Engineering,Bachelor,1,Jan-2023 (Baseline)
54,112895,37,7,Marketing,Associate,0,Jan-2023 (Baseline)
25,106520,44,11,Sales,PhD,0,Jan-2023 (Baseline)
48,75326,38,8,Engineering,Bachelor,0,Jan-2023 (Baseline)
29,96005,53,12,Engineering,Bachelor,0,Jan-2023 (Baseline)
25,76824,49,16,HR,Associate,0,Jan-2023 (Baseline)
42,54188,46,7,Engineering,Master,0,Jan-2023 (Baseline)
59,101988,44,10,Sales,Associate,0,Jan-2023 (Baseline)
49,52132,38,0,Engineering,Associate,0,Jan-2023 (Baseline)
50,58300,56,14,Sales,PhD,0,Jan-2023 (Baseline)
49,76736,49,9,Sales,Master,0,Jan-2023 (Baseline)
51,105364,42,9,HR,PhD,0,Jan-2023 (Baseline)
41,64553,44,10,Sales,Associate,1,Jan-2023 (Baseline)
26,74472,51,4,Engineering,Bachelor,0,Jan-2023 (Baseline)
53,33749,51,11,HR,Master,1,Jan-2023 (Baseline)
39,40427,45,14,Sales,Bachelor,0,Jan-2023 (Baseline)
41,35035,41,6,HR,Master,1,Jan-2023 (Baseline)
36,36485,50,2,Engineering,PhD,0,Jan-2023 (Baseline)
28,108166,50,7,Engineering,Master,0,Jan-2023 (Baseline)
57,105779,48,3,Engineering,PhD,0,Jan-2023 (Baseline)
51,103969,36,7,Sales,Master,0,Jan-2023 (Baseline)
46,35001,45,12,Sales,Bachelor,1,Jan-2023 (Baseline)
37,36988,49,2,Marketing,Master,0,Jan-2023 (Baseline)
53,55255,56,14,Sales,Associate,0,Jan-2023 (Baseline)
42,80876,47,4,HR,PhD,0,Jan-2023 (Baseline)
38,60071,42,17,HR,Master,0,Jan-2023 (Baseline)
39,73880,47,14,Engineering,Associate,0,Jan-2023 (Baseline)
30,45569,39,5,HR,Bachelor,0,Jan-2023 (Baseline)
25,95770,37,11,Sales,Master,0,Jan-2023 (Baseline)
43,58250,50,2,Sales,Bachelor,0,Jan-2023 (Baseline)
55,35988,57,1,Engineering,Associate,1,Jan-2023 (Baseline)
24,96842,54,19,Marketing,PhD,1,Jan-2023 (Baseline)
54,111250,48,16,Marketing,PhD,0,Jan-2023 (Baseline)
53,31321,35,3,Engineering,Bachelor,1,Jan-2023 (Baseline)
32,69300,57,5,HR,Bachelor,0,Jan-2023 (Baseline)
46,104445,45,3,Marketing,PhD,0,Jan-2023 (Baseline)
28,93554,41,7,Sales,Master,0,Jan-2023 (Baseline)
50,107089,55,5,Marketing,Associate,0,Jan-2023 (Baseline)
48,67368,52,6,HR,Associate,0,Jan-2023 (Baseline)
35,63503,52,10,Marketing,Master,0,Jan-2023 (Baseline)
24,93825,41,3,Marketing,PhD,0,Jan-2023 (Baseline)
58,43825,57,17,Engineering,Associate,0,Jan-2023 (Baseline)
38,51547,45,14,Sales,Master,0,Jan-2023 (Baseline)
55,84075,47,15,HR,PhD,0,Jan-2023 (Baseline)
47,90160,52,3,Engineering,Associate,0,Jan-2023 (Baseline)
51,40770,50,14,Sales,Bachelor,0,Jan-2023 (Baseline)
50,75747,38,16,Marketing,Associate,0,Jan-2023 (Baseline)
29,62842,41,3,Engineering,Bachelor,0,Jan-2023 (Baseline)
35,75157,43,15,Sales,PhD,0,Jan-2023 (Baseline)
39,116258,56,7,Marketing,Associate,0,Jan-2023 (Baseline)
40,36894,51,15,Sales,PhD,0,Jan-2023 (Baseline)
23,119591,43,9,Sales,Master,0,Jan-2023 (Baseline)
42,70462,51,16,Marketing,PhD,0,Jan-2023 (Baseline)
27,99489,51,2,Sales,Bachelor,0,Jan-2023 (Baseline)
50,68202,44,7,Engineering,Bachelor,0,Jan-2023 (Baseline)
47,57986,44,5,Engineering,Master,0,Jan-2023 (Baseline)
57,99353,55,4,Marketing,PhD,0,Jan-2023 (Baseline)
50,91889,47,6,Sales,Master,0,Jan-2023 (Baseline)
35,42965,38,7,HR,Bachelor,1,Jan-2023 (Baseline)
58,93486,51,2,Engineering,Associate,0,Jan-2023 (Baseline)
37,97776,48,14,Sales,Master,0,Jan-2023 (Baseline)
34,64905,46,11,Marketing,Master,1,Jan-2023 (Baseline)
56,113308,51,16,HR,Master,0,Jan-2023 (Baseline)
36,87679,55,14,Marketing,Bachelor,0,Jan-2023 (Baseline)
24,60026,42,2,Sales,PhD,0,Jan-2023 (Baseline)
39,30965,44,1,HR,Master,0,Jan-2023 (Baseline)
52,90746,39,8,Marketing,Bachelor,0,Jan-2023 (Baseline)
29,48815,49,9,Sales,Associate,1,Jan-2023 (Baseline)
39,98087,44,4,Sales,Associate,0,Jan-2023 (Baseline)
26,77257,42,15,Marketing,PhD,0,Jan-2023 (Baseline)
48,72005,51,11,Sales,Associate,0,Jan-2023 (Baseline)
40,44737,44,14,HR,Associate,1,Jan-2023 (Baseline)
34,94035,45,2,Marketing,Master,0,Jan-2023 (Baseline)
30,44931,45,16,Engineering,PhD,0,Jan-2023 (Baseline)
43,67597,40,4,Sales,PhD,0,Jan-2023 (Baseline)
47,105267,37,8,Engineering,Master,0,Jan-2023 (Baseline)
57,112832,54,8,Sales,Bachelor,1,Jan-2023 (Baseline)
38,119021,37,16,Engineering,Bachelor,0,Jan-2023 (Baseline)
28,116221,42,5,HR,PhD,0,Jan-2023 (Baseline)
53,80037,50,4,Engineering,Associate,0,Jan-2023 (Baseline)
45,48043,38,6,HR,Associate,1,Jan-2023 (Baseline)
48,105516,50,7,Sales,Master,0,Jan-2023 (Baseline)
25,102146,51,3,Sales,Bachelor,1,Jan-2023 (Baseline)
33,119128,50,3,Sales,Master,0,Jan-2023 (Baseline)
