age,salary,hours_per_week,years_at_company,department,education,attrition
26,45458,52,5,Engineering,Master,0
50,38278,42,15,Engineering,PhD,0
45,82872,63,17,HR,Bachelor,1
42,50265,49,16,HR,PhD,0
51,29377,62,6,Engineering,Master,0
32,45145,41,6,Marketing,Bachelor,0
53,62572,41,5,Engineering,Master,0
35,51038,61,13,Engineering,Bachelor,0
56,79329,64,16,Sales,Bachelor,0
34,46654,42,15,HR,Master,0
36,64264,60,4,Sales,Bachelor,1
37,80658,52,17,Sales,Master,0
35,31440,53,4,Engineering,Associate,0
51,44052,59,3,Sales,Bachelor,1
30,76792,59,12,Sales,Master,0
27,68251,61,15,HR,Master,0
54,48143,48,13,Sales,PhD,1
36,50570,64,2,Sales,Associate,1
31,61621,56,14,Engineering,Bachelor,0
50,40216,54,8,Engineering,Associate,1
48,41226,41,13,Engineering,Bachelor,0
49,56673,51,9,Marketing,Bachelor,0
49,73258,55,8,Engineering,Bachelor,0
44,73245,44,1,Marketing,Master,1
57,48190,54,4,HR,Bachelor,0
28,36909,52,4,Engineering,Bachelor,0
50,42219,58,15,Sales,Master,1
36,81891,51,6,Engineering,PhD,0
46,58137,59,11,Engineering,Bachelor,0
53,29911,41,3,Marketing,PhD,1
39,59696,61,7,Sales,Bachelor,0
57,69570,42,0,Sales,PhD,0
30,54017,49,1,Sales,Bachelor,0
48,71739,53,12,HR,PhD,1
28,37665,60,4,Sales,Bachelor,1
29,81161,58,6,Sales,Bachelor,1
25,52208,55,3,Sales,PhD,0
53,63323,41,6,Sales,Bachelor,0
30,71027,60,4,Engineering,Bachelor,0
29,60846,56,6,Engineering,Bachelor,0
39,78102,55,6,Engineering,Associate,1
35,42257,44,11,HR,Bachelor,0
32,58912,60,11,Engineering,Bachelor,0
36,78502,48,10,Sales,Master,0
35,54385,48,6,Engineering,Bachelor,0
37,68643,58,14,Sales,Bachelor,0
45,61029,48,11,Engineering,Associate,0
27,34694,56,8,HR,Master,0
42,70636,40,13,Sales,Bachelor,0
30,60204,50,8,HR,Master,0
42,66925,58,15,Engineering,Master,0
49,60458,45,11,Engineering,Master,0
35,45019,61,1,HR,Associate,1
26,78251,41,12,Engineering,Bachelor,0
56,30779,45,11,Engineering,Master,1
37,39254,55,4,Engineering,Master,0
39,71228,41,6,Engineering,Master,1
24,50129,50,13,Sales,Bachelor,0
57,76639,54,14,HR,Associate,0
39,77142,59,5,Engineering,Bachelor,1
48,42482,56,1,Sales,Associate,1
26,83067,50,12,HR,Associate,0
36,51967,40,14,Engineering,Bachelor,0
25,33776,61,10,Marketing,Master,1
