age,salary,hours_per_week,years_at_company,department,education,attrition
30,55483,68,2,Engineering,Bachelor,0
48,44400,51,2,Engineering,Bachelor,1
41,42149,57,7,Engineering,Bachelor,1
32,39833,52,7,Engineering,Bachelor,1
25,22821,52,7,Engineering,Bachelor,0
43,30592,54,5,Engineering,Bachelor,1
33,70224,60,3,Engineering,Bachelor,1
38,56092,73,9,Engineering,Bachelor,0
39,27258,72,9,Engineering,Bachelor,1
30,66342,69,5,Engineering,Master,0
32,61214,51,4,Engineering,Bachelor,0
47,45809,48,8,Engineering,Bachelor,1
43,35361,73,4,Engineering,Master,1
46,67880,63,3,Engineering,Bachelor,1
25,57897,69,1,Engineering,Bachelor,0
32,34257,53,3,Sales,PhD,0
24,32380,54,1,Sales,Bachelor,1
49,35354,54,5,Engineering,Bachelor,1
40,32687,72,5,Sales,Bachelor,0
28,69756,62,0,Engineering,Master,0
44,42485,56,4,HR,Associate,1
44,67972,53,4,Engineering,Master,1
30,32071,58,3,Engineering,Master,0
41,47619,66,8,Engineering,Bachelor,1
24,64590,64,2,Engineering,Associate,0
35,49539,49,6,Engineering,Bachelor,1
37,29263,64,0,Engineering,PhD,1
22,39660,48,9,Engineering,Associate,0
43,70737,52,8,HR,Master,0
47,23425,55,9,Marketing,PhD,0
41,35149,73,5,Engineering,Bachelor,0
38,40741,50,1,Engineering,PhD,0
49,32832,52,8,Engineering,Bachelor,1
32,71254,71,2,Marketing,Bachelor,0
33,54999,52,1,Sales,Bachelor,0
31,47408,68,7,Engineering,Bachelor,0
34,31694,70,3,Marketing,Master,1
40,62358,63,4,HR,Bachelor,0
35,28628,52,9,Engineering,Master,0
31,30044,67,7,Marketing,Bachelor,1
39,43465,64,6,Sales,Associate,0
36,58708,48,4,Sales,Associate,0
23,62544,59,6,Sales,Bachelor,1
32,51514,54,1,Marketing,Bachelor,0
31,46411,66,5,Sales,Bachelor,1
23,71333,61,2,Sales,Associate,0
22,33297,52,1,Engineering,Master,0
29,37592,69,5,Marketing,Master,1
28,65622,62,9,Engineering,Master,1
45,45326,63,8,HR,Associate,1
47,61418,69,9,Engineering,Bachelor,1
44,35578,56,0,Engineering,PhD,1
35,46237,73,2,Engineering,Bachelor,1
40,58868,54,5,HR,Bachelor,1
40,58893,66,0,Sales,Bachelor,0
35,25426,71,5,Engineering,Bachelor,0
33,69255,63,0,Engineering,Master,1
49,58565,63,9,Sales,Master,0
34,37193,70,1,Engineering,Bachelor,1
45,63720,71,0,HR,Master,0
33,36180,57,2,Engineering,Bachelor,1
28,34406,50,4,Sales,Bachelor,1
46,35388,59,3,Engineering,Master,1
37,39929,69,7,Engineering,Bachelor,1
38,22338,64,2,HR,Bachelor,0
48,39275,49,2,HR,Master,1
24,60565,74,9,Engineering,Bachelor,0
43,65821,57,6,Engineering,Bachelor,0
28,60139,69,7,Engineering,Bachelor,0
32,29793,58,2,Sales,Bachelor,1
45,43762,53,5,Sales,Master,1
35,67715,49,5,Sales,Master,0
27,64564,67,6,Engineering,Associate,0
36,26629,73,5,Sales,Bachelor,0
43,28658,58,4,Engineering,Bachelor,1
47,23854,59,1,Engineering,PhD,1
24,69695,67,0,Engineering,Bachelor,0
42,62589,49,5,Engineering,Bachelor,0
44,58697,55,5,Marketing,Master,1
33,25267,66,4,Engineering,Bachelor,0
28,24145,53,4,Engineering,Associate,1
34,50408,57,2,Marketing,Bachelor,1
26,30694,67,8,Engineering,Bachelor,1
24,47892,64,0,Engineering,Bachelor,1
29,26915,48,4,Engineering,Master,1
35,66290,65,7,Engineering,PhD,0
40,55368,55,9,Sales,Bachelor,1
28,55717,74,4,Engineering,Bachelor,0
29,61088,62,1,Engineering,Master,1
24,71105,63,4,Marketing,Master,0
35,61795,72,0,Engineering,Master,0
24,56076,65,3,Engineering,Master,1
30,33000,65,9,Engineering,Master,1
28,38714,73,3,HR,Bachelor,0
22,41627,52,6,Engineering,Bachelor,0
41,68871,56,5,Engineering,Bachelor,1
22,56229,56,9,Engineering,Bachelor,0
27,25954,56,5,Sales,Bachelor,1
32,54505,56,7,Engineering,Bachelor,1
37,56110,67,3,Engineering,Associate,1
49,68226,51,9,Engineering,Master,0
38,27411,65,5,HR,Bachelor,1
30,25987,72,4,HR,Bachelor,1
49,30963,56,3,Engineering,Bachelor,0
42,55464,73,3,Engineering,Master,0
34,41315,73,4,Engineering,Master,1
33,50846,72,2,Sales,Bachelor,1
43,46984,74,3,Engineering,Master,1
23,60965,59,5,Engineering,Bachelor,1
22,24679,74,0,Sales,Bachelor,0
22,66244,62,8,HR,Bachelor,1
40,42285,66,0,Marketing,Bachelor,1
33,58073,71,7,Engineering,Master,1
49,48849,70,9,HR,Master,1
39,70516,49,2,Marketing,Master,0
23,35946,72,4,Marketing,Bachelor,0
47,61872,61,8,HR,Bachelor,0
47,42304,64,1,Engineering,Bachelor,1
29,70122,60,9,Engineering,Bachelor,1
26,60976,72,6,Engineering,Bachelor,0
25,49474,70,5,Engineering,Bachelor,1
40,31523,62,8,Sales,Master,0
24,29202,59,5,Engineering,Bachelor,1
22,37450,56,3,Engineering,Bachelor,0
31,67998,57,6,Engineering,Bachelor,1
23,35804,62,4,Sales,Bachelor,0
27,70543,58,1,Engineering,Bachelor,0
25,34446,52,9,Engineering,Bachelor,0
46,28553,67,5,Engineering,Bachelor,0
47,23863,74,9,Sales,Bachelor,1
26,39806,64,2,Engineering,PhD,0
43,69837,52,8,Engineering,Master,0
24,56368,52,7,Sales,Master,0
40,47430,56,4,Engineering,Master,1
47,27477,55,2,Engineering,Master,1
40,38349,51,3,HR,Bachelor,0
28,26755,56,1,Engineering,Bachelor,1
30,66023,70,0,Marketing,Master,1
47,33747,69,0,Engineering,Bachelor,1
36,23096,68,7,Engineering,Master,0
23,38436,54,7,HR,Master,1
35,27299,70,1,Engineering,Master,0
36,61636,51,9,HR,Bachelor,0
48,22938,72,7,Engineering,Bachelor,1
46,58277,70,2,Sales,PhD,0
34,23529,69,8,Engineering,Bachelor,1
29,68055,50,4,Engineering,Associate,1
42,22132,64,4,Engineering,Bachelor,1
47,59023,57,1,Engineering,Bachelor,0
32,52427,66,6,Engineering,Master,0
25,32385,56,6,Engineering,Bachelor,0
47,57878,70,6,Engineering,Associate,0
28,36120,56,8,Engineering,Bachelor,1
45,39705,52,2,Engineering,Master,0
48,40606,67,8,Sales,Master,0
49,68400,54,3,Engineering,Master,0
43,70215,58,5,HR,Master,0
28,59782,63,3,Engineering,Master,0
31,26069,57,7,Engineering,PhD,1
46,71396,60,6,Engineering,PhD,0
31,37847,66,9,Engineering,Bachelor,1
35,60414,73,8,Engineering,Bachelor,1
40,65527,58,2,Sales,Master,0
36,48122,56,7,Engineering,Bachelor,0
45,65770,58,4,Engineering,Bachelor,0
37,24804,49,6,Engineering,Bachelor,0
39,41691,68,7,Engineering,Bachelor,1
24,27986,55,0,Engineering,Bachelor,1
39,55803,66,2,Engineering,Master,1
46,38339,52,3,Engineering,Bachelor,1
34,61911,48,4,Engineering,Bachelor,0
38,28798,59,4,Marketing,Master,1
30,49285,65,9,Engineering,Master,1
24,53872,50,6,Engineering,Master,0
33,62619,49,5,Engineering,Master,0
42,25475,64,8,Engineering,PhD,1
31,29933,67,0,Engineering,Bachelor,1
25,49122,58,4,Engineering,Master,0
29,23832,65,8,Sales,Master,1
32,40162,54,8,Engineering,Master,0
35,22263,64,6,Engineering,Bachelor,1
40,41194,71,4,Engineering,Bachelor,1
25,59830,73,8,Engineering,Bachelor,0
35,25951,74,2,Engineering,Bachelor,1
43,36724,55,7,Engineering,Master,1
23,57950,66,0,HR,Master,0
47,55542,52,2,Engineering,Associate,0
39,60201,50,2,Sales,Bachelor,0
36,69160,59,6,Engineering,Bachelor,0
32,37952,62,4,Engineering,Bachelor,0
34,30664,51,1,Marketing,Associate,0
32,40818,66,7,Engineering,Bachelor,1
41,66210,74,7,HR,Bachelor,0
26,56620,60,8,Engineering,Master,0
42,22669,67,3,Sales,PhD,1
27,28595,52,4,Engineering,Associate,1
48,37172,68,0,HR,Bachelor,1
49,52728,57,3,Engineering,Bachelor,0
27,39457,67,7,Sales,Associate,1
38,39105,72,5,Sales,Master,1
45,52901,69,1,Marketing,Associate,1
38,57022,49,3,Sales,Bachelor,0
39,63721,74,9,Engineering,Master,1
43,53775,49,2,Sales,PhD,0
23,46021,57,7,Engineering,Associate,1
32,37589,66,7,Marketing,Bachelor,0
23,64911,56,9,Sales,Bachelor,0
26,35998,70,2,Engineering,Master,1
37,31347,48,2,Engineering,Bachelor,0
39,41595,64,7,Engineering,Master,0
46,49657,58,4,Engineering,Associate,1
33,36797,72,6,Marketing,Bachelor,1
44,42173,48,1,Engineering,Master,1
33,59947,61,3,Engineering,Bachelor,1
23,54273,48,8,Sales,Bachelor,0
24,61529,65,8,Marketing,Bachelor,0
45,33688,60,9,Marketing,Bachelor,1
33,46774,59,3,Engineering,Master,1
28,59863,64,0,Sales,Master,1
23,33846,69,8,Engineering,Bachelor,0
28,22224,55,5,Engineering,Bachelor,1
47,46621,48,6,Engineering,Associate,0
26,40740,71,5,Engineering,Bachelor,0
32,59822,58,0,Engineering,Bachelor,0
30,45735,63,0,Engineering,PhD,1
42,49277,57,4,Engineering,Master,0
33,45726,72,6,Engineering,Bachelor,1
38,22776,50,1,Engineering,Master,1
23,34043,74,0,Sales,Bachelor,1
34,26380,60,4,Engineering,Bachelor,0
37,33960,56,1,Engineering,Bachelor,1
31,41223,68,0,Engineering,PhD,0
40,26546,64,5,Sales,Bachelor,1
22,64131,52,0,Engineering,Master,0
24,40226,69,8,Engineering,Bachelor,1
40,43381,74,5,Engineering,Bachelor,1
39,45400,55,9,Engineering,Bachelor,1
24,53177,53,7,Engineering,Associate,0
38,46118,69,7,Engineering,Master,0
28,50218,72,1,HR,Master,0
35,63347,71,0,Marketing,Master,1
48,26045,48,5,Marketing,PhD,0
27,70948,73,2,Engineering,Bachelor,1
32,45878,61,7,Sales,Bachelor,1
44,29376,73,3,Engineering,Bachelor,0
32,43581,49,8,Engineering,Bachelor,0
44,34450,65,5,Engineering,Master,0
41,44898,55,4,Sales,Bachelor,1
36,49362,51,4,Engineering,Master,0
29,67536,69,9,HR,Master,1
44,28071,56,8,Engineering,PhD,1
32,36967,64,9,Engineering,Bachelor,1
47,40813,71,5,Sales,Master,0
30,70872,72,8,Engineering,Bachelor,0
24,23172,48,6,Engineering,Bachelor,0
41,45601,61,3,Engineering,Master,0
32,35070,55,8,Sales,Master,0
24,45885,50,1,Marketing,Associate,1
44,64548,58,5,Engineering,Master,1
32,57617,50,1,Engineering,Master,0
48,62070,54,8,Engineering,Bachelor,1
49,45855,62,9,Engineering,Associate,0
46,38734,65,0,Engineering,Bachelor,1
39,24958,72,0,Engineering,Bachelor,1
28,62638,53,4,Engineering,PhD,0
35,50108,74,4,Engineering,Bachelor,1
45,34930,53,7,Engineering,Bachelor,1
30,26334,68,8,HR,Master,1
41,45922,71,1,Engineering,Bachelor,0
22,68466,49,2,Engineering,Bachelor,0
42,49040,65,5,Engineering,Master,0
47,37566,52,1,Sales,Bachelor,1
24,30582,72,3,Engineering,Master,1
47,68686,65,2,HR,Bachelor,0
24,34909,70,3,Engineering,Master,0
49,47929,63,7,Engineering,Bachelor,0
35,38757,59,8,Engineering,Bachelor,1
35,61065,72,6,Engineering,Master,0
24,27526,61,8,Sales,Bachelor,0
38,47320,61,0,Engineering,Bachelor,1
27,35088,50,3,Engineering,PhD,0
30,32533,55,1,HR,Master,1
24,36640,50,3,Sales,Master,1
45,71853,51,5,Engineering,Bachelor,0
25,49166,50,8,Engineering,Bachelor,1
38,53718,68,5,Sales,Bachelor,0
37,62936,53,4,Engineering,Master,1
30,44528,72,7,Engineering,Bachelor,1
24,52047,57,9,Engineering,Bachelor,0
30,69012,67,2,Engineering,Bachelor,1
29,33258,49,0,Engineering,Bachelor,1
31,49822,52,5,Sales,Master,0
35,47276,69,8,HR,Bachelor,1
40,42313,64,8,Engineering,Bachelor,0
47,29683,59,1,Engineering,Bachelor,0
43,31932,72,9,Engineering,Master,0
45,54344,70,8,Sales,Bachelor,0
24,38685,60,7,Engineering,Bachelor,0
43,54355,53,5,Marketing,Bachelor,1
48,62579,49,8,Engineering,Bachelor,0
42,35319,71,0,Engineering,Master,1
43,30076,55,2,Engineering,Master,1
26,66656,57,7,Engineering,Bachelor,0
44,45144,65,4,Sales,PhD,1
38,50694,59,0,Engineering,Master,1
27,54139,51,9,Engineering,Associate,1
46,54922,64,5,Marketing,Master,0
26,44207,57,6,Engineering,Bachelor,1
29,48093,68,8,Engineering,Master,0
42,41947,74,1,HR,Bachelor,1
28,32651,66,5,Engineering,Master,1
48,23851,51,3,Marketing,PhD,0
24,65801,68,0,Marketing,Bachelor,1
31,62785,59,1,Engineering,Master,1
43,23393,64,6,Engineering,Master,0
24,25697,65,8,Engineering,Bachelor,1
32,68502,67,1,Engineering,Associate,1
31,43637,53,1,Engineering,Bachelor,0
40,69109,56,0,HR,Bachelor,1
45,26214,69,4,Engineering,Master,0
26,42524,74,4,HR,Bachelor,1
45,37703,52,4,Engineering,Bachelor,1
40,40494,55,1,Engineering,PhD,1
28,61042,64,5,Engineering,Master,1
35,43169,64,4,Engineering,Associate,0
26,68252,49,8,Engineering,Associate,0
28,64802,48,7,HR,Master,0
35,24008,74,0,Sales,Bachelor,1
40,70399,58,7,Marketing,Bachelor,0
30,37058,62,1,Engineering,Master,1
41,30886,57,3,Engineering,Master,1
45,56430,54,2,Engineering,Bachelor,0
25,43930,56,8,Marketing,Bachelor,0
35,40591,51,4,Engineering,Bachelor,0
22,52920,50,3,Sales,Bachelor,0
28,71359,49,9,Engineering,PhD,1
32,26642,52,7,Sales,Associate,0
34,29105,55,7,Sales,Bachelor,1
30,46567,72,8,Engineering,Master,0
28,28894,70,4,Engineering,PhD,0
25,60970,66,1,Engineering,Master,1
41,58404,54,3,Sales,Master,0
41,52609,61,0,Marketing,Bachelor,1
49,56711,73,8,Engineering,Bachelor,1
30,65361,69,3,Engineering,PhD,1
39,68841,74,6,Engineering,Bachelor,0
24,38596,58,3,Engineering,Bachelor,1
28,25711,63,7,HR,Bachelor,1
33,24018,73,3,Engineering,PhD,0
44,22826,51,8,Sales,Bachelor,1
49,55722,57,9,Engineering,Associate,1
32,28415,57,0,Sales,Bachelor,1
45,36451,60,3,Engineering,Bachelor,1
24,68100,67,8,Engineering,PhD,1
30,60172,51,1,Engineering,Master,0
26,43697,58,9,Sales,Bachelor,1
