age,salary,hours_per_week,years_at_company,department,education,attrition
23,124474,46,8,Engineering,Bachelor,0
47,92065,41,10,Sales,PhD,0
31,71119,48,1,Engineering,PhD,0
48,57529,43,15,Marketing,Associate,0
35,113488,50,18,Engineering,Bachelor,0
23,95953,38,13,Engineering,PhD,0
43,42188,54,19,Sales,Master,0
29,60372,42,7,Engineering,PhD,0
57,52454,41,5,Sales,Bachelor,0
44,56685,44,6,Engineering,Bachelor,0
39,121772,40,16,Marketing,PhD,0
44,70821,43,11,Engineering,PhD,0
40,121351,54,7,Marketing,PhD,0
43,91500,38,1,Engineering,Bachelor,0
41,123314,46,7,Marketing,Master,0
36,82385,49,2,Engineering,Bachelor,0
50,124998,45,14,Engineering,Associate,0
24,74428,42,18,Sales,Associate,0
48,76258,43,8,Sales,Master,0
36,64622,54,13,Sales,Master,0
39,88844,39,12,Sales,PhD,0
36,99254,38,16,HR,Bachelor,0
49,37325,39,18,Marketing,Bachelor,1
31,42513,54,19,Sales,Bachelor,1
46,97112,39,18,Marketing,Associate,0
23,89449,52,21,HR,PhD,0
22,37027,52,17,Engineering,Master,1
58,124005,48,8,Engineering,Bachelor,0
52,53658,36,11,Sales,PhD,0
43,48844,49,16,Marketing,Master,0
56,54700,37,19,Sales,Bachelor,0
26,98873,41,11,Marketing,Bachelor,0
48,49147,46,1,HR,Bachelor,0
27,126387,37,7,Marketing,PhD,0
53,129666,48,10,Sales,Bachelor,0
39,70497,53,19,Sales,Bachelor,0
24,128438,45,6,Engineering,Master,0
42,113300,50,19,Marketing,Associate,0
54,50152,40,7,Engineering,Associate,0
53,116757,45,4,HR,Master,0
31,48694,43,19,Engineering,Master,0
23,125961,41,4,Engineering,Associate,0
49,76250,40,3,Sales,Master,0
32,42088,47,13,Sales,PhD,0
22,119813,46,21,HR,Associate,0
55,125348,43,17,HR,PhD,0
55,58904,42,12,Marketing,PhD,0
58,117535,50,6,Marketing,Master,0
55,69704,51,14,Marketing,Associate,0
44,113803,51,2,HR,PhD,0
51,75026,38,0,Marketing,PhD,0
32,106611,52,14,Engineering,PhD,0
48,54999,48,18,Engineering,Bachelor,0
51,72316,38,14,Engineering,PhD,0
46,76997,36,20,Engineering,Associate,0
23,112974,40,17,Engineering,Bachelor,0
52,127027,39,19,Marketing,Master,0
48,76154,37,10,HR,PhD,0
50,114334,49,7,Engineering,PhD,0
29,56289,47,17,Engineering,Master,0
