age,salary,hours_per_week,years_at_company,department,education,attrition
53,53297,54,9,Engineering,Master,0
40,35239,54,12,Sales,Bachelor,1
47,22827,53,4,Engineering,Master,0
41,48960,73,3,HR,PhD,1
30,55219,73,13,Marketing,Master,0
40,55105,69,5,HR,Bachelor,0
53,58891,53,7,HR,Bachelor,0
54,29722,79,3,Engineering,Bachelor,0
53,60721,70,11,Engineering,Bachelor,1
43,63958,78,0,Sales,Bachelor,1
34,26339,73,1,HR,Master,1
42,45639,59,4,Marketing,PhD,0
44,39497,52,14,Sales,Master,1
33,59222,55,4,Engineering,Associate,0
53,24975,71,7,Marketing,Master,1
41,41758,47,13,Engineering,Bachelor,1
35,36890,61,11,Sales,Associate,1
39,60147,65,3,Sales,Bachelor,0
28,57794,66,7,Engineering,Bachelor,0
43,40518,47,14,Marketing,Bachelor,1
35,58380,52,14,Engineering,Bachelor,0
52,55442,64,1,Engineering,Master,1
34,20247,65,10,Engineering,Bachelor,1
32,35377,59,0,Engineering,Bachelor,0
43,53611,82,9,Engineering,Master,0
34,17872,58,11,Marketing,Bachelor,1
35,31841,60,13,Marketing,Master,1
36,51527,78,3,Engineering,Bachelor,1
45,48360,72,12,Marketing,Master,0
33,23171,73,2,Sales,Bachelor,0
52,28566,63,11,Sales,Master,1
35,61736,70,14,Engineering,Associate,0
48,39397,76,3,Marketing,Associate,0
53,44144,63,13,Engineering,Bachelor,0
45,44962,78,2,Engineering,PhD,1
36,34607,67,4,Engineering,Bachelor,1
45,44832,80,14,Engineering,Master,1
48,53665,69,6,Engineering,Bachelor,1
47,63258,66,12,Engineering,Bachelor,0
26,62062,58,2,Engineering,Bachelor,0
27,52365,67,4,Engineering,Master,1
33,36755,76,9,Engineering,Bachelor,1
35,60457,49,11,Sales,Bachelor,0
46,50366,51,14,HR,Associate,0
27,34260,61,14,Engineering,Bachelor,1
38,37629,49,1,HR,Bachelor,1
48,47990,61,12,Engineering,Bachelor,0
51,23549,48,0,Sales,Bachelor,1
26,41010,77,11,Engineering,Bachelor,1
38,25724,79,0,Sales,Master,1
33,38401,51,10,Engineering,Bachelor,0
43,57389,57,9,Marketing,Master,1
49,48897,59,9,Engineering,Bachelor,0
42,39102,49,5,Engineering,Bachelor,1
42,36073,79,14,Engineering,Master,1
42,34074,69,14,Sales,Associate,0
33,26047,49,11,HR,Bachelor,1
44,32847,70,13,Marketing,Bachelor,1
30,27222,71,9,Sales,Bachelor,0
40,33981,54,2,Engineering,Bachelor,0
52,21130,80,4,Marketing,Master,0
30,31492,82,14,Sales,PhD,0
27,55632,78,9,Engineering,Bachelor,0
27,54577,54,13,Marketing,Bachelor,0
25,47497,53,5,Engineering,Master,0
32,50537,61,6,Engineering,Bachelor,1
33,18718,58,13,HR,Bachelor,1
27,45525,67,9,Engineering,Bachelor,0
50,52810,63,3,Marketing,Master,1
28,54660,71,8,Sales,Bachelor,0
33,62592,66,2,Sales,Master,1
33,23034,60,8,HR,Master,0
41,41815,61,7,Sales,Bachelor,1
42,56766,53,2,HR,Bachelor,0
37,19679,72,2,HR,PhD,1
35,29148,61,13,HR,Bachelor,1
44,21617,60,13,Sales,Associate,1
48,23127,63,1,Engineering,Bachelor,1
38,19901,79,12,Engineering,Master,0
53,42119,71,12,Engineering,Associate,1
48,46826,61,0,Engineering,Associate,1
34,34713,80,0,Sales,Bachelor,0
53,23862,78,8,Engineering,Associate,1
32,50945,80,11,Sales,Bachelor,1
45,30748,49,6,HR,Bachelor,0
45,52894,80,13,Sales,Bachelor,0
34,32679,54,12,HR,Master,0
42,57062,63,13,Engineering,Master,1
35,40290,61,6,Engineering,Associate,0
48,26232,54,9,Sales,Master,1
34,24970,74,9,HR,Master,1
43,48415,66,2,Marketing,Associate,0
40,59938,78,8,Sales,Associate,0
33,33717,58,7,Engineering,Bachelor,1
51,54550,47,12,HR,Associate,0
52,48950,64,4,HR,Master,0
40,37643,70,2,Engineering,Bachelor,1
42,51730,67,14,HR,PhD,1
33,47730,71,9,Engineering,Master,0
46,56028,72,0,Sales,PhD,0
50,56260,74,8,Engineering,Master,1
45,38029,67,8,Engineering,Master,0
38,28300,77,0,Engineering,Master,1
48,41119,58,4,Sales,PhD,0
35,22444,73,4,Sales,Master,0
47,44253,82,4,Marketing,Bachelor,1
30,51520,64,6,Engineering,Bachelor,0
37,42924,59,1,Sales,Bachelor,1
44,49643,54,0,HR,Bachelor,0
26,55515,82,2,HR,Bachelor,0
47,45504,73,8,Engineering,Bachelor,1
39,33536,55,11,Engineering,Bachelor,1
40,48105,76,6,Engineering,Master,0
51,57247,55,8,Engineering,PhD,0
34,37727,79,3,Engineering,Associate,1
29,25036,76,5,Marketing,Master,1
29,36407,72,1,Sales,Master,1
48,51298,58,11,Engineering,Master,0
35,52890,65,4,Marketing,Master,0
44,51665,47,3,HR,Master,0
26,58285,67,12,HR,Bachelor,0
46,45455,60,8,Engineering,Bachelor,0
51,44307,65,9,Marketing,Bachelor,1
31,29897,82,9,Sales,Bachelor,1
51,48630,64,2,Engineering,Bachelor,1
27,46117,48,1,HR,Master,0
35,27995,59,5,Marketing,Bachelor,1
33,27719,59,13,Sales,Master,0
33,31753,51,3,Engineering,Associate,1
43,20185,65,5,Marketing,Bachelor,1
47,60510,48,8,Engineering,PhD,0
36,53374,69,1,Sales,Master,1
31,32257,48,11,Marketing,PhD,0
32,36895,55,2,Engineering,PhD,0
36,60157,82,1,Marketing,Master,0
36,28981,73,8,Engineering,Master,0
54,24395,72,6,Sales,Bachelor,1
46,51180,71,10,HR,Master,1
38,44616,54,11,Sales,Bachelor,0
32,34845,78,6,Sales,Bachelor,1
25,22424,58,14,Engineering,Bachelor,1
41,44409,80,2,Engineering,PhD,1
25,27855,59,11,HR,Master,1
37,32299,61,10,Marketing,Bachelor,0
32,46960,60,2,Engineering,Master,0
54,24328,51,11,Engineering,Master,0
54,31879,61,0,Engineering,Bachelor,1
50,27867,53,7,Sales,Bachelor,0
40,40679,73,8,Engineering,Bachelor,0
46,30980,72,5,Engineering,Master,0
37,61902,51,3,Engineering,PhD,0
41,41376,63,10,HR,Bachelor,1
27,19452,64,8,Engineering,PhD,0
36,48061,66,3,Engineering,Bachelor,1
40,60168,61,5,Engineering,Bachelor,0
45,62705,82,1,Sales,Bachelor,0
35,51202,66,6,Engineering,Bachelor,0
50,45341,74,6,Marketing,Bachelor,0
34,26277,52,13,Engineering,Master,1
29,62717,57,14,Engineering,Master,0
50,27937,64,2,Sales,Master,0
26,25613,82,3,Engineering,Master,0
37,29686,82,11,Engineering,Bachelor,1
38,21750,58,2,Engineering,Associate,1
25,45777,72,10,HR,Associate,0
33,22506,73,2,Engineering,Bachelor,1
49,43880,51,0,Engineering,Associate,0
51,36520,60,12,Engineering,Bachelor,1
37,58938,76,0,Marketing,Bachelor,1
32,35260,72,7,Sales,Associate,0
33,20176,61,11,Engineering,Bachelor,1
52,54636,64,13,HR,Bachelor,0
53,22563,64,4,Marketing,Bachelor,0
40,19275,64,11,Sales,Master,1
38,30785,55,3,Engineering,Bachelor,0
50,45387,60,6,HR,Bachelor,0
33,56522,69,5,Marketing,Bachelor,1
38,63076,65,11,Engineering,Bachelor,0
38,41942,63,1,HR,PhD,0
46,33897,82,11,Sales,Master,1
26,53077,73,7,Sales,Master,0
54,42296,53,13,Sales,Bachelor,0
47,60675,53,7,HR,Associate,0
29,46723,78,8,Engineering,Bachelor,1
47,25703,61,11,Sales,Bachelor,1
32,46393,47,12,Engineering,Master,0
37,22830,82,8,Engineering,Bachelor,0
40,43077,53,8,Marketing,Bachelor,0
45,44560,74,10,Marketing,Master,1
36,37081,78,5,Engineering,Bachelor,1
31,57518,73,13,Engineering,Master,1
49,36104,79,12,Marketing,Bachelor,1
27,21707,48,8,Engineering,Bachelor,0
52,23737,59,4,Sales,Master,0
50,53692,65,12,Engineering,Bachelor,1
42,54807,54,0,Sales,Bachelor,0
38,47888,65,5,Sales,Bachelor,0
28,60461,72,6,Sales,Bachelor,0
49,46417,51,0,Marketing,Master,0
36,25494,74,8,Engineering,Bachelor,1
42,56102,72,14,Engineering,Bachelor,1
34,25047,51,2,Engineering,Master,1
44,37167,65,8,Engineering,Bachelor,1
44,64005,66,12,Sales,Master,1
25,45265,64,1,Engineering,Associate,0
32,18108,53,5,HR,Bachelor,1
40,56211,57,10,Engineering,Bachelor,0
27,56901,67,4,Engineering,Master,0
29,41444,67,5,Engineering,Master,1
40,62357,73,13,Engineering,Bachelor,0
35,44931,73,8,Engineering,Master,1
33,52359,57,2,Sales,Bachelor,0
53,49268,72,2,Marketing,Bachelor,0
39,29725,78,3,Engineering,Master,0
41,55110,52,5,HR,Bachelor,0
35,53856,49,4,Sales,Master,0
35,25490,72,2,Engineering,Associate,1
47,46370,53,12,Sales,Bachelor,0
39,60705,73,3,Sales,Bachelor,0
32,51452,47,10,Sales,Master,0
25,46008,52,5,Engineering,Bachelor,0
46,40515,80,12,Engineering,Master,0
40,30990,80,6,Sales,Bachelor,0
28,31870,65,6,HR,Master,1
45,57323,72,9,HR,Associate,1
48,61130,76,10,Engineering,Master,0
45,60531,60,9,Marketing,Bachelor,0
54,43937,76,6,Engineering,Bachelor,0
34,54118,52,10,Engineering,Bachelor,0
33,33754,70,3,Engineering,Master,1
49,64231,57,7,Engineering,Bachelor,0
54,26437,76,2,Sales,Master,1
47,25155,60,10,Marketing,Master,1
43,49248,60,14,Engineering,Associate,0
32,60451,55,12,Sales,Master,0
42,23087,58,9,Sales,Bachelor,0
36,47199,59,13,Engineering,Bachelor,0
32,45083,74,5,Engineering,Master,1
37,59002,70,11,Engineering,Bachelor,0
45,42232,59,1,HR,PhD,1
44,53143,71,5,Marketing,Bachelor,0
38,62994,57,11,Engineering,Master,0
42,18999,78,1,Marketing,Bachelor,1
42,56045,73,3,Engineering,Master,1
34,51440,47,2,Engineering,Bachelor,0
39,33186,57,9,Engineering,Bachelor,0
38,20628,53,3,HR,Associate,1
48,39669,74,8,Engineering,Bachelor,1
33,20261,78,11,HR,PhD,1
40,63507,80,13,Engineering,PhD,0
40,50892,74,9,Engineering,Bachelor,1
34,56410,54,13,HR,Master,0
48,30236,61,0,Engineering,Master,1
34,22095,54,14,Sales,Master,1
40,20947,78,6,Engineering,Bachelor,1
41,51041,59,8,Engineering,Bachelor,0
39,45312,73,9,HR,Bachelor,0
54,53999,47,10,HR,Bachelor,0
43,44382,47,12,Engineering,Bachelor,0
28,64149,51,2,Engineering,PhD,0
25,30640,57,14,Engineering,Master,1
25,55714,58,10,HR,Master,0
34,30120,58,7,Engineering,Bachelor,1
38,61329,70,13,Sales,Master,1
43,55868,49,4,Engineering,Master,0
30,62492,74,0,Marketing,Master,1
31,39981,54,9,Sales,Bachelor,1
52,24577,70,10,HR,Bachelor,0
27,38610,47,10,Engineering,Master,0
42,60870,70,9,HR,Bachelor,0
39,49512,54,12,HR,Master,0
49,19333,74,13,Engineering,PhD,1
28,58668,65,8,Marketing,Associate,1
49,49356,58,12,Engineering,Master,1
43,31549,79,5,Engineering,Bachelor,0
25,57325,69,7,Sales,Bachelor,1
43,46552,74,13,Engineering,Bachelor,0
51,36344,78,5,Sales,Bachelor,0
39,20624,82,11,Engineering,PhD,1
37,57633,51,8,Engineering,Associate,1
36,46207,51,2,Sales,Bachelor,0
31,48949,70,10,Engineering,Master,0
33,51211,55,0,Engineering,Bachelor,0
51,48132,63,8,Engineering,Bachelor,0
37,59112,63,9,Sales,Master,1
50,45310,63,12,Engineering,Associate,0
40,21235,60,0,Engineering,Bachelor,0
51,24693,64,5,Engineering,Master,1
50,37397,60,8,Sales,Bachelor,1
51,63152,61,11,Engineering,Bachelor,0
31,41621,54,6,Engineering,Bachelor,0
53,49752,72,7,Sales,Bachelor,1
30,51695,76,9,Engineering,Master,1
32,57678,58,5,Engineering,Associate,1
49,53330,49,9,Sales,PhD,0
32,33517,55,7,Sales,Master,0
51,18605,63,13,Engineering,Bachelor,0
26,24546,65,12,Engineering,Bachelor,1
26,19480,61,9,Engineering,PhD,0
47,49678,74,11,Engineering,Bachelor,0
